"Endpoint ID","auto~Time_Angle#values.value","auto~Time_Button#values.value","auto~Time_CableWrap#values.value","auto~Time_Fader#values.value","auto~Time_ProbeGoal#values.value","auto~accX#values.value","auto~accY#values.value","auto~accZ#values.value","auto~angleValue#values.value","auto~cumForce#values.value","auto~faderValue#values.value","auto~gyroX#values.value","auto~gyroY#values.value","auto~gyroZ#values.value","auto~probeGoalState#values.value","auto~probeStartState#values.value","auto~pushButtonState#values.value","auto~resetButtonState#values.value","auto~startButtonState#values.value","auto~stopButtonState#values.value","auto~trialCounter#values.value","auto~trialPoints#values.value","auto~trialStarted#values.value","auto~trialTime#values.value","Date"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-4.638671875","6.591796875","1073.730469","4075","4.051025391","1","10.86425781","0.061035156","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-13.18359375","-1.953125","1084.228516","4076","4.125976563","0","10.7421875","0.061035156","-0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-2.9296875","-6.8359375","1085.693359","4075","4.190429688","0","10.37597656","-0.061035156","0.305175781","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-23.68164063","11.71875","1082.763672","4075","4.301757813","1","10.43701172","0.244140625","-0.48828125","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-10.7421875","11.47460938","1075.439453","4072","4.391845703","0","10.25390625","-0.122070313","0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","0","16.35742188","1110.595703","4075","4.567626953","1","10.98632813","0.183105469","-0.48828125","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-8.30078125","7.568359375","1076.416016","4075","4.6171875","1","10.68115234","0.061035156","-0.854492188","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","8.7890625","16.35742188","1083.984375","4076","4.694091797","1","11.77978516","0.122070313","-0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-8.056640625","-9.765625","1083.496094","4077","4.909423828","1","10.92529297","-0.122070313","0","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:06"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-3.90625","3.41796875","1078.125","4077","4.975830078","1","11.29150391","-0.48828125","-0.183105469","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:07"
